Depth_0,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
brain,grey,CH,CTX,CTXsp,BLA,BLAp,,,
brain,grey,BS,MB,,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp6a,
brain,grey,BS,HB,P,P-mot,SG,,,
brain,grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp1,
brain,grey,BS,IB,TH,DORpm,GENv,SubG,,
brain,grey,BS,IB,TH,DORpm,LAT,SGN,,
brain,fiber tracts,cbf,cbp,scp,,,,,
brain,grey,CH,CTX,CTXsp,BMA,BMAa,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd6b,
brain,grey,BS,IB,HY,PVZ,ASO,,,
brain,grey,CH,CNU,STR,LSX,SH,,,
brain,grey,CH,CTX,CTXsp,BMA,BMAp,,,
brain,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI6a,,
brain,fiber tracts,cm,IIn,csc,,,,,
brain,grey,BS,IB,HY,PVR,SFO,,,
brain,grey,CH,CNU,PAL,PALv,SI,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp5,
brain,grey,BS,IB,HY,PVR,SBPV,,,
brain,fiber tracts,mfbs,mfsbshy,sup,,,,,
brain,grey,BS,HB,P,P-sat,SLC,,,
brain,grey,CH,CNU,PAL,PALc,BST,,,
brain,grey,BS,HB,MY,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp6b,
brain,grey,BS,IB,HY,LZ,PST,,,
brain,grey,BS,HB,P,P-sat,SLD,,,
brain,grey,BS,IB,TH,DORpm,MED,MD,,
brain,grey,CH,CTX,CTXpl,Isocortex,PL,PL5,,
brain,grey,BS,IB,HY,LZ,PSTN,,,
brain,grey,BS,IB,TH,DORpm,MED,SMT,,
brain,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI6b,,
brain,grey,BS,HB,MY,MY-mot,ICB,,,
brain,grey,BS,MB,MBsta,SNc,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl6a,
brain,fiber tracts,cm,drt,cett,dc,cuf,,,
brain,grey,BS,MB,MBmot,SNr,,,,
brain,grey,BS,IB,HY,PVZ,SO,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA1,CA1slm,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl6b,
brain,fiber tracts,eps,rust,vtd,,,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA1,CA1so,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam4,
brain,grey,CH,CNU,STR,sAMY,MEA,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA1,CA1sp,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl2/3,
brain,fiber tracts,cm,VIIIn,vVIIIn,,,,,
brain,grey,BS,IB,TH,DORsm,SPF,SPFm,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA1,CA1sr,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl1,
brain,grey,BS,IB,TH,DORsm,SPF,SPFp,,
brain,grey,CH,CTX,CTXpl,Isocortex,ECT,ECT2/3,,
brain,fiber tracts,mfbs,mfbc,fxs,fxpo,mct,,,
brain,grey,BS,HB,MY,MY-sen,SPVC,,,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv2/3,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA2,CA2slm,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam5,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd2/3,
brain,fiber tracts,mfbs,mfbc,fxs,fxpo,fx,,,
brain,grey,BS,HB,MY,MY-sen,SPVI,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA2,CA2so,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl6a,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam6b,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd1,
brain,fiber tracts,mfbs,mfbc,fxs,hc,dhc,,,
brain,grey,BS,HB,MY,MY-sen,SPVO,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA2,CA2sp,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl1,
brain,fiber tracts,mfbs,mfbc,fxs,hc,vhc,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul1
brain,grey,CH,CTX,CTXsp,BLA,BLAv,,,
brain,grey,BS,IB,HY,PVR,MEPO,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA2,CA2sr,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo6b,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr6b
brain,fiber tracts,mfbs,mfbc,fxs,alv,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm6b,
brain,grey,BS,IB,HY,LZ,STN,,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA3,CA3slm,
brain,grey,CH,CNU,STR,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll6a
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA3,CA3slu,
brain,fiber tracts,cm,VIIIn,cVIIIn,bic,,,,
brain,grey,BS,IB,TH,DORpm,EPI,MH,,
