Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
grey,BS,HB,P,P-sat,RPO,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd6b,
grey,BS,MB,MBmot,RR,,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo6a,
grey,CH,CNU,STR,LSX,LS,LSc,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp2/3,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd5,
grey,BS,IB,TH,DORpm,ATN,AV,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm6a,
grey,CH,CNU,STR,LSX,LS,LSr,,
grey,CH,CTX,CTXpl,OLF,NLOT,NLOT1,,
grey,BS,IB,TH,DORpm,RT,,,
grey,BS,IB,HY,PVR,AVP,,,
grey,CH,CNU,STR,LSX,LS,LSv,,
grey,CH,CTX,CTXpl,OLF,NLOT,NLOT2,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl2/3,
grey,BS,MB,MBsen,SAG,,,,
grey,BS,IB,HY,PVR,AVPV,,,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd6a,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl6b,
grey,BS,HB,P,P-mot,B,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam1,
grey,BS,IB,HY,PVR,SCH,,,
grey,CH,CNU,PAL,PALc,BAC,,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl2/3,
grey,CH,CTX,CTXpl,Isocortex,TEa,TEa5,,
grey,CH,CNU,STR,sAMY,BA,,,
grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv2/3,
grey,CH,CNU,PAL,PALv,MA,,,
fiber tracts,mfbs,mfbc,st,,,,,
grey,CH,CTX,CTXsp,BLA,BLAa,,,
grey,CH,CTX,CTXpl,Isocortex,PL,PL2/3,,
