Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp2/3,
grey,CB,CBX,VERM,FOTU,,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul6a
grey,BS,IB,HY,MEZ,PH,,,
fiber tracts,cm,von,,,,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m4
grey,CB,CBX,VERM,PYR,,,,
grey,CH,CTX,CTXsp,EP,EPd,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp6a,
grey,BS,HB,MY,MY-mot,LRN,LRNm,,
fiber tracts,lfbs,cc,fa,,,,,
grey,CB,CBX,VERM,UVU,,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv1,
grey,CH,CTX,CTXpl,OLF,PIR,,,
grey,CH,CTX,CTXpl,Isocortex,MO,MOs,MOs2/3,
grey,BS,HB,MY,MY-mot,LRN,LRNp,,
fiber tracts,lfbs,cc,ee,,,,,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl2/3,
grey,CH,CTX,CTXsp,EP,EPv,,,
grey,CB,CBX,VERM,NOD,,,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl1,
grey,BS,HB,MY,MY-mot,PGRN,PGRNd,,
fiber tracts,lfbs,cc,fp,,,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl2/3,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m5
grey,BS,MB,MBmot,EW,,,,
grey,CB,CBX,VERM,CENT,CENT2,,,
grey,CH,CTX,CTXpl,Isocortex,ECT,ECT6a,,
grey,BS,HB,MY,MY-mot,PGRN,PGRNl,,
grey,BS,IB,HY,MEZ,PMd,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-bfd,SSp-bfd1
grey,CH,CTX,CTXpl,HPF,HIP,FC,,
grey,CB,CBX,VERM,CENT,CENT3,,,
fiber tracts,lfbs,cc,ccs,,,,,
grey,CH,CTX,CTXpl,Isocortex,ECT,ECT5,,
grey,CB,CBN,FN,,,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv4,
grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId1,
,,,,,,,,
grey,CH,CNU,STR,STRv,FS,,,
grey,BS,IB,HY,MEZ,PMv,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp6b,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr1
grey,CB,CBX,HEM,SIM,,,,
fiber tracts,,,,,,,,
grey,CH,CTX,CTXpl,Isocortex,VISC,VISC4,,
grey,CH,CTX,CTXpl,Isocortex,ACA,ACAd,ACAd5,
fiber tracts,cm,In,onl,,,,,
grey,BS,IB,TH,DORpm,LAT,PO,,
grey,CH,CTX,CTXpl,Isocortex,MO,MOs,MOs6a,
grey,CH,CNU,PAL,PALd,GPe,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv5,
grey,CB,CBX,HEM,PRM,,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul6b
grey,BS,IB,TH,DORpm,LAT,POL,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll1
grey,CH,CNU,PAL,PALd,GPi,,,
grey,CB,CBX,HEM,COPY,,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs4,
grey,CH,CTX,CTXpl,HPF,RHP,POST,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-bfd,SSp-bfd6a
grey,BS,HB,MY,MY-sen,DCN,GR,,
grey,CB,CBX,HEM,PFL,,,,
fiber tracts,eps,tsp,tspc,,,,,
grey,BS,IB,TH,DORsm,PP,,,
grey,CH,CTX,CTXpl,Isocortex,ECT,ECT6b,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam6a,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-bfd,SSp-bfd4
grey,BS,HB,MY,MY-mot,GRN,,,
grey,CB,CBX,HEM,FL,,,,
grey,BS,MB,MBsta,PPN,,,,
grey,CH,CTX,CTXpl,Isocortex,ILA,ILA6a,,
grey,CB,CBX,HEM,AN,ANcr1,,,
grey,CH,CTX,CTXpl,Isocortex,VISC,VISC5,,
fiber tracts,eps,tsp,dtd,,,,,
grey,BS,MB,MBmot,PRT,PPT,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-bfd,SSp-bfd6b
grey,CB,CBX,HEM,AN,ANcr2,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam2/3,
grey,BS,HB,MY,MY-mot,PPY,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-bfd,SSp-bfd5
grey,BS,IB,TH,DORsm,GENd,MG,MGd,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal1,
grey,BS,IB,TH,DORpm,MED,PR,,
grey,BS,IB,TH,DORsm,GENd,MG,MGv,
grey,CH,CTX,CTXpl,Isocortex,ILA,ILA6b,,
grey,CH,CTX,CTXpl,HPF,RHP,PRE,,
grey,CH,CTX,CTXpl,Isocortex,MO,MOs,MOs6b,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr4
grey,BS,IB,TH,DORsm,GENd,MG,MGm,
grey,CH,CTX,CTXpl,HPF,,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs5,
grey,CB,CBX,VERM,CUL,"CUL4, 5",,,
fiber tracts,lfbs,lfbst,em,,,,,
grey,BS,HB,P,P-mot,PRNc,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll4
grey,BS,IB,TH,DORpm,ATN,AM,AMd,
grey,BS,IB,HY,,,,,
grey,BS,HB,MY,MY-mot,MDRN,MDRNd,,
grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId5,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m6a
grey,BS,IB,TH,DORpm,ATN,AM,AMv,
grey,CH,CNU,STR,sAMY,IA,,,
grey,CH,CTX,CTXpl,Isocortex,VISC,VISC2/3,,
grey,BS,HB,MY,MY-mot,MDRN,MDRNv,,
fiber tracts,lfbs,cc,ccg,,,,,
grey,BS,IB,HY,PVR,PS,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr5
grey,BS,IB,TH,DORpm,ATN,IAD,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal4,
fiber tracts,cm,VIIn,gVIIn,,,,,
grey,BS,IB,TH,DORpm,ATN,IAM,,
grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTl,ENTl1
fiber tracts,cbf,cbp,icp,,,,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl5,
grey,BS,IB,HY,MEZ,MBO,TM,TMd,
grey,CH,CTX,CTXpl,Isocortex,TEa,TEa2/3,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll5
grey,CH,CTX,CTXpl,OLF,NLOT,NLOT3,,
grey,BS,IB,HY,ME,,,,
grey,CH,CTX,CTXpl,HPF,HIP,DG,DG-mo,
grey,CH,CTX,CTXpl,HPF,HIP,DG,DG-po,
