"VISl4: rgb(8,130,139)"
"VISl5: rgb(11,133,139)"
"VISl6a: rgb(8,132,140)"
"VISl6b: rgb(9,133,140)"
"VISp: rgb(10,133,140)"
"VISp1: rgb(9,133,137)"
"VISp2/3: rgb(10,130,140)"
"VISp4: rgb(11,132,139)"
"VISp5: rgb(8,131,137)"
"VISp6a: rgb(8,133,140)"
"VISp6b: rgb(8,133,138)"
"VISpl: rgb(9,131,139)"
"VISpl1: rgb(10,131,138)"
"VISpl2/3: rgb(9,132,140)"
"VISpl4: rgb(11,133,138)"
"VISpl5: rgb(11,131,140)"
"VISpl6a: rgb(8,131,140)"
"VISpl6b: rgb(8,132,138)"
"VISpm: rgb(10,131,139)"
"VISpm1: rgb(10,133,137)"
"VISpm2/3: rgb(8,133,139)"
"VISpm4: rgb(9,130,139)"
"VISpm5: rgb(8,132,137)"
"VISpm6a: rgb(9,133,139)"
"VISpm6b: rgb(8,133,137)"
"VISli: rgb(10,133,139)"
"VISli1: rgb(12,133,140)"
"VISli2/3: rgb(10,133,138)"
"VISli4: rgb(8,130,140)"
"VISli5: rgb(10,132,138)"
"VISli6a: rgb(8,132,136)"
"VISli6b: rgb(8,129,139)"
"VISpor: rgb(9,133,136)"
"VISpor1: rgb(9,129,140)"
"VISpor2/3: rgb(10,131,137)"
"VISpor4: rgb(10,130,138)"
"VISpor5: rgb(11,131,138)"
"VISpor6a: rgb(12,133,139)"
"VISpor6b: rgb(12,132,140)"
"ACA: rgb(64,166,102)"
"ACAd: rgb(64,166,101)"
"ACAd1: rgb(62,166,101)"
"ACAd2/3: rgb(64,165,101)"
"ACAd5: rgb(62,165,102)"
"ACAd6a: rgb(63,166,100)"
"ACAd6b: rgb(63,164,102)"
"ACAv: rgb(64,165,102)"
"ACAv1: rgb(64,166,100)"
"ACAv2/3: rgb(63,165,102)"
"ACAv5: rgb(62,166,102)"
"ACAv6a: rgb(64,165,100)"
"ACAv6b: rgb(64,164,101)"
"PL: rgb(46,167,80)"
"PL1: rgb(47,167,80)"
"PL2/3: rgb(47,167,79)"
"PL5: rgb(46,168,79)"
"PL6a: rgb(47,168,80)"
"PL6b: rgb(47,168,79)"
"ILA: rgb(89,179,99)"
"ILA1: rgb(89,178,99)"
"ILA2/3: rgb(89,179,98)"
"ILA5: rgb(89,178,98)"
"ILA6a: rgb(88,179,98)"
"ILA6b: rgb(88,178,99)"
"ORB: rgb(35,137,92)"
"ORBl: rgb(35,136,93)"
"ORBl1: rgb(35,138,93)"
"ORBl2/3: rgb(35,138,94)"
"ORBl5: rgb(34,138,93)"
"ORBl6a: rgb(36,137,93)"
"ORBl6b: rgb(36,138,92)"
"ORBm: rgb(34,137,93)"
"ORBm1: rgb(35,137,93)"
"ORBm2/3: rgb(36,136,93)"
"ORBm5: rgb(35,136,94)"
"ORBm6a: rgb(34,136,94)"
"ORBm6b: rgb(36,135,94)"
"ORBvl: rgb(34,138,92)"
"ORBvl1: rgb(36,138,91)"
"ORBvl2/3: rgb(36,138,93)"
"ORBvl5: rgb(35,136,92)"
"ORBvl6a: rgb(35,138,92)"
"ORBvl6b: rgb(34,137,94)"
"AI: rgb(33,152,102)"
"AId: rgb(33,152,101)"
"AId1: rgb(32,151,100)"
"AId2/3: rgb(32,151,101)"
"AId5: rgb(32,150,101)"
"AId6a: rgb(32,150,102)"
"AId6b: rgb(31,151,102)"
"AIp: rgb(33,151,102)"
"AIp1: rgb(33,151,101)"
"AIp2/3: rgb(32,152,101)"
"AIp5: rgb(33,152,100)"
"AIp6a: rgb(32,151,102)"
"AIp6b: rgb(33,150,102)"
"AIv: rgb(32,152,102)"
"AIv1: rgb(32,152,100)"
"AIv2/3: rgb(33,151,100)"
"AIv5: rgb(31,152,101)"
"AIv6a: rgb(31,152,102)"
"AIv6b: rgb(33,150,101)"
