Depth_0,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
root,grey,BS,HB,P,P-mot,B,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam1,
root,grey,BS,IB,HY,PVR,SCH,,,
root,grey,CH,CNU,PAL,PALc,BAC,,,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl2/3,
root,grey,CH,CTX,CTXpl,Isocortex,TEa,TEa5,,
root,grey,CH,CNU,STR,sAMY,BA,,,
root,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv2/3,
root,grey,CH,CNU,PAL,PALv,MA,,,
root,fiber tracts,mfbs,mfbc,st,,,,,
root,grey,CH,CTX,CTXsp,BLA,BLAa,,,
root,grey,CH,CTX,CTXpl,Isocortex,PL,PL2/3,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp6b,
root,grey,BS,HB,MY,MY-mot,MARN,,,
root,grey,CH,CNU,STR,LSX,SF,,,
root,grey,CH,CTX,CTXsp,BLA,BLAp,,,
root,grey,BS,MB,,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp6a,
root,grey,BS,HB,P,P-mot,SG,,,
root,grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp1,
root,grey,BS,IB,TH,DORpm,GENv,SubG,,
root,grey,BS,IB,TH,DORpm,LAT,SGN,,
root,fiber tracts,cbf,cbp,scp,,,,,
root,grey,CH,CTX,CTXsp,BMA,BMAa,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId2/3,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-bfd,
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd6b,
root,grey,BS,IB,HY,PVZ,ASO,,,
root,grey,CH,CNU,STR,LSX,SH,,,
root,grey,CH,CTX,CTXsp,BMA,BMAp,,,
root,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI6a,,
root,fiber tracts,cm,IIn,csc,,,,,
root,grey,BS,IB,HY,PVR,SFO,,,
root,grey,CH,CNU,PAL,PALv,SI,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp5,
root,grey,BS,IB,HY,PVR,SBPV,,,
root,fiber tracts,mfbs,mfsbshy,sup,,,,,
root,grey,BS,HB,P,P-sat,SLC,,,
root,grey,CH,CNU,PAL,PALc,BST,,,
root,grey,BS,HB,MY,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp6b,
root,grey,BS,IB,HY,LZ,PST,,,
root,grey,BS,HB,P,P-sat,SLD,,,
root,grey,BS,IB,TH,DORpm,MED,MD,,
root,grey,CH,CTX,CTXpl,Isocortex,PL,PL5,,
root,grey,BS,IB,HY,LZ,PSTN,,,
root,grey,BS,IB,TH,DORpm,MED,SMT,,
root,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI6b,,
root,grey,BS,HB,MY,MY-mot,ICB,,,
root,grey,BS,MB,MBsta,SNc,,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl6a,
root,fiber tracts,cm,drt,cett,dc,cuf,,,
root,grey,BS,MB,MBmot,SNr,,,,
root,grey,CH,CTX,CTXpl,HPF,HIP,CA,CA1,
root,grey,BS,IB,HY,PVZ,SO,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl6b,
root,fiber tracts,eps,rust,vtd,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam4,
root,grey,CH,CNU,STR,sAMY,MEA,,,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl2/3,
root,fiber tracts,cm,VIIIn,vVIIIn,,,,,
root,grey,BS,IB,TH,DORsm,SPF,SPFm,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl1,
root,grey,BS,IB,TH,DORsm,SPF,SPFp,,
root,grey,CH,CTX,CTXpl,HPF,HIP,CA,CA2,
root,grey,CH,CTX,CTXpl,Isocortex,ECT,ECT2/3,,
root,fiber tracts,mfbs,mfbc,fxs,fxpo,mct,,,
root,grey,BS,HB,MY,MY-sen,SPVC,,,
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv2/3,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam5,
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd2/3,
root,fiber tracts,mfbs,mfbc,fxs,fxpo,fx,,,
root,grey,BS,HB,MY,MY-sen,SPVI,,,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl6a,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam6b,
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd1,
root,fiber tracts,mfbs,mfbc,fxs,hc,dhc,,,
root,grey,BS,HB,MY,MY-sen,SPVO,,,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl1,
root,fiber tracts,mfbs,mfbc,fxs,hc,vhc,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul1
root,grey,CH,CTX,CTXsp,BLA,BLAv,,,
root,grey,BS,IB,HY,PVR,MEPO,,,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo6b,
root,grey,BS,MB,MBsen,MEV,,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr6b
root,grey,CH,CTX,CTXpl,HPF,HIP,CA,CA3,
root,fiber tracts,mfbs,mfbc,fxs,alv,,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm6b,
root,grey,BS,IB,HY,LZ,STN,,,
root,grey,CH,CNU,STR,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll6a
root,fiber tracts,cm,VIIIn,cVIIIn,bic,,,,
root,grey,BS,IB,TH,DORpm,EPI,MH,,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm1,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl6b,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm4,
root,grey,CH,CTX,CTXpl,HPF,RHP,SUB,,
root,fiber tracts,cm,VIIIn,cVIIIn,das,,,,
root,grey,CH,CTX,CTXpl,OLF,MOB,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll6b
root,grey,CB,,,,,,,
root,grey,BS,IB,HY,MEZ,MPN,,,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv6a,
root,grey,BS,IB,HY,PVR,MPO,,,
root,grey,BS,IB,HY,MEZ,MBO,SUM,,
root,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm1
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd1,
root,fiber tracts,mfbs,mfbc,fxs,df,,,,
root,grey,BS,MB,MBmot,PRT,MPT,,,
root,grey,BS,HB,P,P-mot,SUT,,,
root,fiber tracts,cm,In,lotg,lotd,,,,
root,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI1,,
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv1,
root,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm2
root,grey,CH,CNU,STR,sAMY,CEA,CEAc,,
root,grey,BS,IB,TH,,,,,
root,grey,CH,CNU,STR,sAMY,CEA,CEAl,,
root,fiber tracts,cbf,cbp,icp,sctd,,,,
root,grey,CH,CTX,CTXpl,Isocortex,ILA,ILA2/3,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n1
root,grey,CH,CNU,STR,sAMY,CEA,CEAm,,
root,grey,CH,CNU,PAL,PALm,MSC,MS,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm5,
root,grey,CH,CTX,CTXpl,OLF,TR,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl4,
root,grey,BS,HB,P,P-mot,TRN,,,
root,grey,BS,IB,TH,DORpm,ILM,CL,,
root,grey,BS,HB,MY,MY-mot,ACVII,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul4
root,fiber tracts,lfbs,cc,fa,ec,,,,
root,grey,BS,MB,MBsen,NB,,,,
root,grey,CH,CNU,PAL,PALm,TRS,,,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm2/3,
root,grey,CH,CTX,CTXsp,CLA,,,,
root,grey,BS,MB,MBmot,PAG,ND,,,
root,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv1,
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv6a,
root,grey,BS,MB,MBsta,RAmb,CLI,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp1,
root,fiber tracts,mfbs,mfsbshy,mfbse,fr,,,,
root,grey,CH,CNU,PAL,PALm,MSC,NDB,,
root,grey,CH,CTX,CTXpl,OLF,TT,TTd,,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv6b,
root,grey,BS,IB,TH,DORpm,ILM,CM,,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd2/3,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal6a,
root,fiber tracts,mfbs,mfbc,fxs,fi,,,,
root,grey,BS,HB,P,P-sat,NI,,,
root,grey,CH,CTX,CTXpl,OLF,TT,TTv,,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl6a,
root,grey,BS,IB,TH,DORsm,SPA,,,
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd5,
root,fiber tracts,mfbs,mfsbshy,mfbse,hbc,,,,
root,grey,BS,HB,P,P-sen,NLL,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl5,
root,grey,BS,IB,HY,LZ,TU,,,
root,grey,BS,MB,MBmot,CUN,,,,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm5,
root,grey,BS,HB,P,P-mot,V,,,
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv6b,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul5
root,grey,BS,MB,MBmot,PRT,NOT,,,
root,grey,BS,IB,TH,DORsm,VENT,VAL,,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl5,
root,grey,CH,CTX,CTXpl,HPF,HIP,DG,DG-sg,
root,fiber tracts,cm,VIIIn,cVIIIn,cic,,,,
root,grey,BS,MB,MBmot,PRT,NPC,,,
root,grey,CH,CTX,CTXpl,Isocortex,GU,GU6a,,
root,grey,CH,CTX,CTXpl,OLF,COA,COAa,,
root,grey,BS,HB,MY,MY-sen,NTB,,,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo2/3,
root,grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp5,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal6b,
root,grey,BS,HB,MY,MY-sen,NTS,,,
root,grey,BS,HB,MY,MY-mot,VI,,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n4
root,grey,CH,CTX,CTXpl,OLF,COA,COAp,COApl,
