"IMD: rgb(160,82,45)"
"VP-pc: rgb(0,255,8)"
"PF: rgb(255,239,213)"
"RRe: rgb(0,0,205)"
"scp-pr: rgb(210,182,140)"
"IGL: rgb(0,0,128)"
"SPF: rgb(233,150,122)"
"FoF: rgb(255,250,250)"
"SubG: rgb(147,112,219)"
"Eth: rgb(131,50,128)"
"LP-l: rgb(199,87,61)"
"ZI-A11: rgb(255,182,193)"
"LP-mr: rgb(60,179,113)"
"LP-mc: rgb(255,235,205)"
"ZI-c: rgb(255,228,196)"
"ima: rgb(155,148,111)"
"iml: rgb(255,92,10)"
"VA: rgb(255,136,0)"
"VPL: rgb(171,86,62)"
"MG-d: rgb(239,163,0)"
"MG-m: rgb(10,244,217)"
"MG-v: rgb(131,58,31)"
"MG-sg: rgb(10,244,150)"
"VLO: rgb(255,0,1)"
"LO: rgb(255,174,201)"
"VO: rgb(200,191,231)"
"MO: rgb(63,72,204)"
"DLO: rgb(185,122,87)"
"PrL: rgb(163,73,164)"
"M2: rgb(0,162,232)"
"Ma: rgb(136,0,21)"
"M1: rgb(153,217,234)"
"AI-v: rgb(255,201,14)"
"AI-d: rgb(255,127,39)"
"Cg1: rgb(0,128,128)"
"CLA: rgb(153,217,200)"
"IL: rgb(34,177,76)"
"DI: rgb(255,242,0)"
"GI: rgb(239,228,176)"
"S1-fl: rgb(185,14,131)"
"S1-dz: rgb(237,28,36)"
"S1-f: rgb(255,128,192)"
"S2: rgb(200,100,250)"
"S1-hl: rgb(136,100,21)"
"AI-p: rgb(181,230,29)"
"S1-bf: rgb(120,177,76)"
"RSD: rgb(200,73,164)"
"S1-tr: rgb(225,150,201)"
"RSG: rgb(25,100,200)"
"lPPC: rgb(255,240,29)"
"mPPC: rgb(108,0,108)"
"PtP: rgb(128,0,64)"
"V1: rgb(84,52,35)"
"V2L: rgb(255,100,100)"
"TeA: rgb(0,128,0)"
"V2M: rgb(128,0,100)"
"Endo: rgb(1,10,100)"
"Am-u: rgb(2,20,200)"
"NLOT: rgb(230,184,67)"
"5n: rgb(135,206,250)"
"msp5t: rgb(85,107,47)"
"AOA-u: rgb(64,224,208)"
"Brain: rgb(50,168,82)"
"wmt: rgb(255,255,255)"
"ac: rgb(255,255,255)"
"hiw: rgb(255,255,255)"
"cfp: rgb(255,255,255)"
"ml: rgb(255,255,255)"
"tht: rgb(255,255,255)"
"7n: rgb(255,255,255)"
"ofs: rgb(255,255,255)"
"tew: rgb(255,255,255)"
"cbt: rgb(255,255,255)"
"bsw: rgb(255,255,255)"
"ll: rgb(255,255,255)"
"GM: rgb(128,128,128)"
"Cx: rgb(128,128,128)"
"Cg: rgb(128,128,128)"
"Au: rgb(128,128,128)"
"OB: rgb(128,128,128)"
"HF: rgb(128,128,128)"
"CA: rgb(128,128,128)"
"PHR: rgb(128,128,128)"
"PER: rgb(128,128,128)"
"EC: rgb(128,128,128)"
"PAL: rgb(128,128,128)"
"MG: rgb(128,128,128)"
"RT: rgb(128,128,128)"
"HY: rgb(128,128,128)"
"MB: rgb(128,128,128)"
"Tc: rgb(128,128,128)"
"IC: rgb(128,128,128)"
"Su: rgb(128,128,128)"
"Tg: rgb(128,128,128)"
"VCN: rgb(128,128,128)"
"DCN: rgb(128,128,128)"
"SO: rgb(128,128,128)"
"NLL: rgb(128,128,128)"
"Cb: rgb(128,128,128)"
"V: rgb(114,126,186)"
"IE: rgb(16,79,24)"
"olf: rgb(255,255,255)"
"eml: rgb(255,255,255)"
"Tel: rgb(128,128,128)"
"LamP: rgb(128,128,128)"
"HR: rgb(128,128,128)"
"PIR: rgb(128,128,128)"
"CgR: rgb(128,128,128)"
"RS: rgb(128,128,128)"
"INS: rgb(128,128,128)"
"AI: rgb(128,128,128)"
"Front: rgb(128,128,128)"
"Orb: rgb(128,128,128)"
"MFC: rgb(128,128,128)"
"M: rgb(128,128,128)"
"Par: rgb(128,128,128)"
"SS: rgb(128,128,128)"
"S1: rgb(128,128,128)"
"PPC: rgb(128,128,128)"
"Oc: rgb(128,128,128)"
"Vis: rgb(128,128,128)"
"V2: rgb(128,128,128)"
"Te: rgb(128,128,128)"
"Au2: rgb(128,128,128)"
"N-LamP: rgb(128,128,128)"
"SubPAL: rgb(128,128,128)"
"Str: rgb(128,128,128)"
"NAc: rgb(128,128,128)"
"GPe: rgb(128,128,128)"
"BRF: rgb(128,128,128)"
"Dien: rgb(128,128,128)"
"Thal-Pre: rgb(128,128,128)"
"ZI: rgb(128,128,128)"
"Thal-EPI: rgb(128,128,128)"
"Thal-D: rgb(128,128,128)"
"ANT: rgb(128,128,128)"
"AV: rgb(128,128,128)"
"DC-MID: rgb(128,128,128)"
"V-MID: rgb(128,128,128)"
"MD: rgb(128,128,128)"
"VENT: rgb(128,128,128)"
"VPN: rgb(128,128,128)"
